Gyáriszám;Azonosító;Kezdõ dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-01-04 00:00;2025-01-04 00:15;0,158000;2;0,000000;2;0,158000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 00:15;2025-01-04 00:30;0,163000;2;0,000000;2;0,163000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 00:30;2025-01-04 00:45;0,140000;2;0,000000;2;0,140000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 00:45;2025-01-04 01:00;0,154000;2;0,000000;2;0,154000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 01:00;2025-01-04 01:15;0,147000;2;0,000000;2;0,147000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 01:15;2025-01-04 01:30;0,163000;2;0,000000;2;0,163000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 01:30;2025-01-04 01:45;0,153000;2;0,000000;2;0,153000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 01:45;2025-01-04 02:00;0,162000;2;0,000000;2;0,162000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 02:00;2025-01-04 02:15;0,052000;2;0,000000;2;0,052000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 02:15;2025-01-04 02:30;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 02:30;2025-01-04 02:45;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 02:45;2025-01-04 03:00;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 03:00;2025-01-04 03:15;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 03:15;2025-01-04 03:30;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 03:30;2025-01-04 03:45;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 03:45;2025-01-04 04:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 04:00;2025-01-04 04:15;0,031000;2;0,000000;2;0,031000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 04:15;2025-01-04 04:30;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 04:30;2025-01-04 04:45;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 04:45;2025-01-04 05:00;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 05:00;2025-01-04 05:15;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 05:15;2025-01-04 05:30;0,056000;2;0,000000;2;0,056000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 05:30;2025-01-04 05:45;0,188000;2;0,000000;2;0,188000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 05:45;2025-01-04 06:00;0,160000;2;0,000000;2;0,160000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 06:00;2025-01-04 06:15;0,158000;2;0,000000;2;0,158000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 06:15;2025-01-04 06:30;0,169000;2;0,000000;2;0,169000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 06:30;2025-01-04 06:45;0,194000;2;0,000000;2;0,194000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 06:45;2025-01-04 07:00;0,932000;2;0,000000;2;0,932000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 07:00;2025-01-04 07:15;0,571000;2;0,000000;2;0,571000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 07:15;2025-01-04 07:30;0,043000;2;0,000000;2;0,043000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 07:30;2025-01-04 07:45;0,044000;2;0,000000;2;0,044000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 07:45;2025-01-04 08:00;0,055000;2;0,000000;2;0,055000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 08:00;2025-01-04 08:15;0,325000;2;0,000000;2;0,325000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 08:15;2025-01-04 08:30;0,464000;2;0,000000;2;0,464000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 08:30;2025-01-04 08:45;0,247000;2;0,000000;2;0,247000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 08:45;2025-01-04 09:00;0,187000;2;0,000000;2;0,187000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 09:00;2025-01-04 09:15;0,272000;2;0,000000;2;0,272000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 09:15;2025-01-04 09:30;0,661000;2;0,000000;2;0,661000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 09:30;2025-01-04 09:45;0,759000;2;0,000000;2;0,759000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 09:45;2025-01-04 10:00;0,365000;2;0,000000;2;0,365000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 10:00;2025-01-04 10:15;0,443000;2;0,000000;2;0,443000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 10:15;2025-01-04 10:30;0,488000;2;0,000000;2;0,488000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 10:30;2025-01-04 10:45;0,420000;2;0,000000;2;0,420000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 10:45;2025-01-04 11:00;0,537000;2;0,000000;2;0,537000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 11:00;2025-01-04 11:15;0,394000;2;0,000000;2;0,394000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-04 11:15;2025-01-04 11:30;0,538000;2;0,000000;2;0,538000;2
