Gyáriszám;Azonosító;Kezdő dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-01-13 00:00;2025-01-13 00:15;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 00:15;2025-01-13 00:30;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 00:30;2025-01-13 00:45;0,058000;2;0,000000;2;0,058000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 00:45;2025-01-13 01:00;0,193000;2;0,000000;2;0,193000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 01:00;2025-01-13 01:15;0,162000;2;0,000000;2;0,162000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 01:15;2025-01-13 01:30;0,155000;2;0,000000;2;0,155000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 01:30;2025-01-13 01:45;0,163000;2;0,000000;2;0,163000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 01:45;2025-01-13 02:00;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 02:00;2025-01-13 02:15;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 02:15;2025-01-13 02:30;0,139000;2;0,000000;2;0,139000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 02:30;2025-01-13 02:45;0,146000;2;0,000000;2;0,146000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 02:45;2025-01-13 03:00;0,133000;2;0,000000;2;0,133000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 03:00;2025-01-13 03:15;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 03:15;2025-01-13 03:30;0,031000;2;0,000000;2;0,031000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 03:30;2025-01-13 03:45;0,040000;2;0,000000;2;0,040000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 03:45;2025-01-13 04:00;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 04:00;2025-01-13 04:15;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 04:15;2025-01-13 04:30;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 04:30;2025-01-13 04:45;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 04:45;2025-01-13 05:00;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 05:00;2025-01-13 05:15;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 05:15;2025-01-13 05:30;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 05:30;2025-01-13 05:45;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 05:45;2025-01-13 06:00;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 06:00;2025-01-13 06:15;0,186000;2;0,000000;2;0,186000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 06:15;2025-01-13 06:30;0,155000;2;0,000000;2;0,155000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 06:30;2025-01-13 06:45;0,165000;2;0,000000;2;0,165000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 06:45;2025-01-13 07:00;0,449000;2;0,000000;2;0,449000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 07:00;2025-01-13 07:15;0,753000;2;0,000000;2;0,753000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 07:15;2025-01-13 07:30;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 07:30;2025-01-13 07:45;0,086000;2;0,000000;2;0,086000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 07:45;2025-01-13 08:00;0,251000;2;0,000000;2;0,251000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 08:00;2025-01-13 08:15;0,042000;2;0,000000;2;0,042000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 08:15;2025-01-13 08:30;0,208000;2;0,000000;2;0,208000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 08:30;2025-01-13 08:45;0,250000;2;0,000000;2;0,250000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 08:45;2025-01-13 09:00;0,244000;2;0,000000;2;0,244000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 09:00;2025-01-13 09:15;0,091000;2;0,000000;2;0,091000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 09:15;2025-01-13 09:30;0,191000;2;0,000000;2;0,191000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 09:30;2025-01-13 09:45;0,157000;2;0,000000;2;0,157000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 09:45;2025-01-13 10:00;0,147000;2;0,000000;2;0,147000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 10:00;2025-01-13 10:15;0,163000;2;0,000000;2;0,163000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 10:15;2025-01-13 10:30;0,158000;2;0,000000;2;0,158000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 10:30;2025-01-13 10:45;0,162000;2;0,000000;2;0,162000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 10:45;2025-01-13 11:00;0,682000;2;0,000000;2;0,682000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 11:00;2025-01-13 11:15;0,158000;2;0,000000;2;0,158000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 11:15;2025-01-13 11:30;0,237000;2;0,000000;2;0,237000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 11:30;2025-01-13 11:45;0,597000;2;0,000000;2;0,597000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 11:45;2025-01-13 12:00;0,559000;2;0,000000;2;0,559000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 12:00;2025-01-13 12:15;0,546000;2;0,000000;2;0,546000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 12:15;2025-01-13 12:30;0,542000;2;0,000000;2;0,542000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 12:30;2025-01-13 12:45;0,548000;2;0,000000;2;0,548000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 12:45;2025-01-13 13:00;0,550000;2;0,000000;2;0,550000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 13:00;2025-01-13 13:15;0,454000;2;0,000000;2;0,454000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 13:15;2025-01-13 13:30;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 13:30;2025-01-13 13:45;0,164000;2;0,000000;2;0,164000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 13:45;2025-01-13 14:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 14:00;2025-01-13 14:15;0,024000;2;0,000000;2;0,024000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 14:15;2025-01-13 14:30;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 14:30;2025-01-13 14:45;0,100000;2;0,000000;2;0,100000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 14:45;2025-01-13 15:00;0,180000;2;0,000000;2;0,180000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 15:00;2025-01-13 15:15;0,177000;2;0,000000;2;0,177000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 15:15;2025-01-13 15:30;0,657000;2;0,000000;2;0,657000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 15:30;2025-01-13 15:45;0,874000;2;0,000000;2;0,874000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 15:45;2025-01-13 16:00;0,839000;2;0,000000;2;0,839000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 16:00;2025-01-13 16:15;0,376000;2;0,000000;2;0,376000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 16:15;2025-01-13 16:30;0,381000;2;0,000000;2;0,381000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 16:30;2025-01-13 16:45;0,282000;2;0,000000;2;0,282000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 16:45;2025-01-13 17:00;0,423000;2;0,000000;2;0,423000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 17:00;2025-01-13 17:15;0,898000;2;0,000000;2;0,898000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 17:15;2025-01-13 17:30;0,773000;2;0,000000;2;0,773000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 17:30;2025-01-13 17:45;0,457000;2;0,000000;2;0,457000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 17:45;2025-01-13 18:00;0,269000;2;0,000000;2;0,269000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 18:00;2025-01-13 18:15;0,278000;2;0,000000;2;0,278000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 18:15;2025-01-13 18:30;0,298000;2;0,000000;2;0,298000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 18:30;2025-01-13 18:45;0,575000;2;0,000000;2;0,575000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 18:45;2025-01-13 19:00;0,902000;2;0,000000;2;0,902000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 19:00;2025-01-13 19:15;0,673000;2;0,000000;2;0,673000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 19:15;2025-01-13 19:30;0,309000;2;0,000000;2;0,309000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 19:30;2025-01-13 19:45;0,350000;2;0,000000;2;0,350000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 19:45;2025-01-13 20:00;0,481000;2;0,000000;2;0,481000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 20:00;2025-01-13 20:15;0,099000;2;0,000000;2;0,099000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 20:15;2025-01-13 20:30;0,317000;2;0,000000;2;0,317000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 20:30;2025-01-13 20:45;0,825000;2;0,000000;2;0,825000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 20:45;2025-01-13 21:00;0,311000;2;0,000000;2;0,311000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 21:00;2025-01-13 21:15;0,068000;2;0,000000;2;0,068000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 21:15;2025-01-13 21:30;0,050000;2;0,000000;2;0,050000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 21:30;2025-01-13 21:45;0,052000;2;0,000000;2;0,052000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 21:45;2025-01-13 22:00;0,046000;2;0,000000;2;0,046000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 22:00;2025-01-13 22:15;0,056000;2;0,000000;2;0,056000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 22:15;2025-01-13 22:30;0,051000;2;0,000000;2;0,051000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 22:30;2025-01-13 22:45;0,054000;2;0,000000;2;0,054000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 22:45;2025-01-13 23:00;0,047000;2;0,000000;2;0,047000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 23:00;2025-01-13 23:15;0,056000;2;0,000000;2;0,056000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 23:15;2025-01-13 23:30;0,048000;2;0,000000;2;0,048000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 23:30;2025-01-13 23:45;0,183000;2;0,000000;2;0,183000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-13 23:45;2025-01-14 00:00;0,160000;2;0,000000;2;0,160000;2
