Gyáriszám;Azonosító;Kezdő dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-01-26 00:00;2025-01-26 00:15;0,082000;2;0,000000;2;0,082000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 00:15;2025-01-26 00:30;0,059000;2;0,000000;2;0,059000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 00:30;2025-01-26 00:45;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 00:45;2025-01-26 01:00;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 01:00;2025-01-26 01:15;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 01:15;2025-01-26 01:30;0,081000;2;0,000000;2;0,081000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 01:30;2025-01-26 01:45;0,172000;2;0,000000;2;0,172000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 01:45;2025-01-26 02:00;0,140000;2;0,000000;2;0,140000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 02:00;2025-01-26 02:15;0,136000;2;0,000000;2;0,136000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 02:15;2025-01-26 02:30;0,139000;2;0,000000;2;0,139000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 02:30;2025-01-26 02:45;0,132000;2;0,000000;2;0,132000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 02:45;2025-01-26 03:00;0,125000;2;0,000000;2;0,125000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 03:00;2025-01-26 03:15;0,125000;2;0,000000;2;0,125000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 03:15;2025-01-26 03:30;0,088000;2;0,000000;2;0,088000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 03:30;2025-01-26 03:45;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 03:45;2025-01-26 04:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 04:00;2025-01-26 04:15;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 04:15;2025-01-26 04:30;0,125000;2;0,000000;2;0,125000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 04:30;2025-01-26 04:45;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 04:45;2025-01-26 05:00;0,025000;2;0,000000;2;0,025000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 05:00;2025-01-26 05:15;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 05:15;2025-01-26 05:30;0,023000;2;0,000000;2;0,023000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 05:30;2025-01-26 05:45;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 05:45;2025-01-26 06:00;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 06:00;2025-01-26 06:15;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 06:15;2025-01-26 06:30;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 06:30;2025-01-26 06:45;0,125000;2;0,000000;2;0,125000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 06:45;2025-01-26 07:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 07:00;2025-01-26 07:15;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 07:15;2025-01-26 07:30;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 07:30;2025-01-26 07:45;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 07:45;2025-01-26 08:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 08:00;2025-01-26 08:15;0,096000;2;0,000000;2;0,096000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 08:15;2025-01-26 08:30;0,430000;2;0,000000;2;0,430000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 08:30;2025-01-26 08:45;0,427000;2;0,000000;2;0,427000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 08:45;2025-01-26 09:00;0,507000;2;0,000000;2;0,507000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 09:00;2025-01-26 09:15;0,165000;2;0,000000;2;0,165000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 09:15;2025-01-26 09:30;0,367000;2;0,000000;2;0,367000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 09:30;2025-01-26 09:45;0,554000;2;0,000000;2;0,554000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 09:45;2025-01-26 10:00;0,552000;2;0,000000;2;0,552000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 10:00;2025-01-26 10:15;0,548000;2;0,000000;2;0,548000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 10:15;2025-01-26 10:30;0,383000;2;0,000000;2;0,383000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 10:30;2025-01-26 10:45;0,136000;2;0,000000;2;0,136000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-26 10:45;2025-01-26 11:00;0,136000;2;0,000000;2;0,136000;2
