Gyáriszám;Azonosító;Kezdő dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-01-11 00:00;2025-01-11 00:15;0,059000;2;0,000000;2;0,059000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 00:15;2025-01-11 00:30;0,067000;2;0,000000;2;0,067000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 00:30;2025-01-11 00:45;0,043000;2;0,000000;2;0,043000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 00:45;2025-01-11 01:00;0,089000;2;0,000000;2;0,089000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 01:00;2025-01-11 01:15;0,192000;2;0,000000;2;0,192000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 01:15;2025-01-11 01:30;0,161000;2;0,000000;2;0,161000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 01:30;2025-01-11 01:45;0,166000;2;0,000000;2;0,166000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 01:45;2025-01-11 02:00;0,161000;2;0,000000;2;0,161000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 02:00;2025-01-11 02:15;0,150000;2;0,000000;2;0,150000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 02:15;2025-01-11 02:30;0,142000;2;0,000000;2;0,142000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 02:30;2025-01-11 02:45;0,152000;2;0,000000;2;0,152000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 02:45;2025-01-11 03:00;0,161000;2;0,000000;2;0,161000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 03:00;2025-01-11 03:15;0,157000;2;0,000000;2;0,157000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 03:15;2025-01-11 03:30;0,164000;2;0,000000;2;0,164000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 03:30;2025-01-11 03:45;0,141000;2;0,000000;2;0,141000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 03:45;2025-01-11 04:00;0,144000;2;0,000000;2;0,144000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 04:00;2025-01-11 04:15;0,105000;2;0,000000;2;0,105000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 04:15;2025-01-11 04:30;0,040000;2;0,000000;2;0,040000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 04:30;2025-01-11 04:45;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 04:45;2025-01-11 05:00;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 05:00;2025-01-11 05:15;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 05:15;2025-01-11 05:30;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 05:30;2025-01-11 05:45;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 05:45;2025-01-11 06:00;0,438000;2;0,000000;2;0,438000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 06:00;2025-01-11 06:15;0,121000;2;0,000000;2;0,121000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 06:15;2025-01-11 06:30;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 06:30;2025-01-11 06:45;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 06:45;2025-01-11 07:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 07:00;2025-01-11 07:15;0,516000;2;0,000000;2;0,516000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 07:15;2025-01-11 07:30;0,534000;2;0,000000;2;0,534000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 07:30;2025-01-11 07:45;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 07:45;2025-01-11 08:00;0,121000;2;0,000000;2;0,121000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 08:00;2025-01-11 08:15;0,179000;2;0,000000;2;0,179000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 08:15;2025-01-11 08:30;0,040000;2;0,000000;2;0,040000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 08:30;2025-01-11 08:45;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 08:45;2025-01-11 09:00;0,066000;2;0,000000;2;0,066000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 09:00;2025-01-11 09:15;0,193000;2;0,000000;2;0,193000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 09:15;2025-01-11 09:30;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 09:30;2025-01-11 09:45;0,155000;2;0,000000;2;0,155000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 09:45;2025-01-11 10:00;0,155000;2;0,000000;2;0,155000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 10:00;2025-01-11 10:15;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 10:15;2025-01-11 10:30;0,155000;2;0,000000;2;0,155000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 10:30;2025-01-11 10:45;0,548000;2;0,000000;2;0,548000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 10:45;2025-01-11 11:00;0,608000;2;0,000000;2;0,608000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 11:00;2025-01-11 11:15;0,375000;2;0,000000;2;0,375000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 11:15;2025-01-11 11:30;0,400000;2;0,000000;2;0,400000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 11:30;2025-01-11 11:45;0,526000;2;0,000000;2;0,526000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 11:45;2025-01-11 12:00;0,483000;2;0,000000;2;0,483000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 12:00;2025-01-11 12:15;0,298000;2;0,000000;2;0,298000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 12:15;2025-01-11 12:30;0,189000;2;0,000000;2;0,189000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 12:30;2025-01-11 12:45;0,196000;2;0,000000;2;0,196000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 12:45;2025-01-11 13:00;0,201000;2;0,000000;2;0,201000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 13:00;2025-01-11 13:15;0,204000;2;0,000000;2;0,204000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 13:15;2025-01-11 13:30;0,201000;2;0,000000;2;0,201000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 13:30;2025-01-11 13:45;0,154000;2;0,000000;2;0,154000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 13:45;2025-01-11 14:00;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 14:00;2025-01-11 14:15;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 14:15;2025-01-11 14:30;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 14:30;2025-01-11 14:45;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 14:45;2025-01-11 15:00;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 15:00;2025-01-11 15:15;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 15:15;2025-01-11 15:30;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 15:30;2025-01-11 15:45;0,557000;2;0,000000;2;0,557000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 15:45;2025-01-11 16:00;0,714000;2;0,000000;2;0,714000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 16:00;2025-01-11 16:15;0,409000;2;0,000000;2;0,409000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 16:15;2025-01-11 16:30;0,240000;2;0,000000;2;0,240000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 16:30;2025-01-11 16:45;0,616000;2;0,000000;2;0,616000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 16:45;2025-01-11 17:00;0,939000;2;0,000000;2;0,939000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 17:00;2025-01-11 17:15;0,940000;2;0,000000;2;0,940000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 17:15;2025-01-11 17:30;0,679000;2;0,000000;2;0,679000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 17:30;2025-01-11 17:45;0,409000;2;0,000000;2;0,409000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 17:45;2025-01-11 18:00;0,797000;2;0,000000;2;0,797000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 18:00;2025-01-11 18:15;0,937000;2;0,000000;2;0,937000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 18:15;2025-01-11 18:30;0,411000;2;0,000000;2;0,411000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 18:30;2025-01-11 18:45;0,421000;2;0,000000;2;0,421000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 18:45;2025-01-11 19:00;0,790000;2;0,000000;2;0,790000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 19:00;2025-01-11 19:15;0,311000;2;0,000000;2;0,311000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 19:15;2025-01-11 19:30;0,486000;2;0,000000;2;0,486000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 19:30;2025-01-11 19:45;0,700000;2;0,000000;2;0,700000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 19:45;2025-01-11 20:00;0,498000;2;0,000000;2;0,498000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 20:00;2025-01-11 20:15;0,404000;2;0,000000;2;0,404000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 20:15;2025-01-11 20:30;0,336000;2;0,000000;2;0,336000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 20:30;2025-01-11 20:45;0,818000;2;0,000000;2;0,818000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 20:45;2025-01-11 21:00;0,229000;2;0,000000;2;0,229000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 21:00;2025-01-11 21:15;0,051000;2;0,000000;2;0,051000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 21:15;2025-01-11 21:30;0,052000;2;0,000000;2;0,052000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 21:30;2025-01-11 21:45;0,054000;2;0,000000;2;0,054000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 21:45;2025-01-11 22:00;0,051000;2;0,000000;2;0,051000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 22:00;2025-01-11 22:15;0,052000;2;0,000000;2;0,052000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 22:15;2025-01-11 22:30;0,055000;2;0,000000;2;0,055000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 22:30;2025-01-11 22:45;0,051000;2;0,000000;2;0,051000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 22:45;2025-01-11 23:00;0,050000;2;0,000000;2;0,050000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 23:00;2025-01-11 23:15;0,053000;2;0,000000;2;0,053000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 23:15;2025-01-11 23:30;0,052000;2;0,000000;2;0,052000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 23:30;2025-01-11 23:45;0,048000;2;0,000000;2;0,048000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-11 23:45;2025-01-12 00:00;0,036000;2;0,000000;2;0,036000;2
