Gyariszam;Azonosito;Kezdo_datum;Zaro_datum;Hatasos_ertek_kWh;Hatasos_statusz;Hatasos_vesz_ertek_kWh;Hatasos_vesz_statusz;Szaldo_ertek_kWh;Szaldo_statusz
9940220802;HU000220F11-S00000000000007928672;2025-05-20 09:45:00;2025-05-20 10:00:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 10:00:00;2025-05-20 10:15:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 10:15:00;2025-05-20 10:30:00;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 10:30:00;2025-05-20 10:45:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 10:45:00;2025-05-20 11:00:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 11:00:00;2025-05-20 11:15:00;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 11:15:00;2025-05-20 11:30:00;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 11:30:00;2025-05-20 11:45:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 11:45:00;2025-05-20 12:00:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 12:00:00;2025-05-20 12:15:00;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 12:15:00;2025-05-20 12:30:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 12:30:00;2025-05-20 12:45:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 12:45:00;2025-05-20 13:00:00;0,156000;2;0,000000;2;0,156000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 13:00:00;2025-05-20 13:15:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 13:15:00;2025-05-20 13:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 13:30:00;2025-05-20 13:45:00;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 13:45:00;2025-05-20 14:00:00;0,085000;2;0,000000;2;0,085000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 14:00:00;2025-05-20 14:15:00;0,167000;2;0,000000;2;0,167000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 14:15:00;2025-05-20 14:30:00;0,139000;2;0,000000;2;0,139000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 14:30:00;2025-05-20 14:45:00;0,146000;2;0,000000;2;0,146000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 14:45:00;2025-05-20 15:00:00;0,156000;2;0,000000;2;0,156000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 15:00:00;2025-05-20 15:15:00;0,070000;2;0,000000;2;0,070000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 15:15:00;2025-05-20 15:30:00;0,467000;2;0,000000;2;0,467000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 15:30:00;2025-05-20 15:45:00;0,646000;2;0,000000;2;0,646000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 15:45:00;2025-05-20 16:00:00;0,641000;2;0,000000;2;0,641000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 16:00:00;2025-05-20 16:15:00;0,333000;2;0,000000;2;0,333000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 16:15:00;2025-05-20 16:30:00;0,201000;2;0,000000;2;0,201000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 16:30:00;2025-05-20 16:45:00;0,128000;2;0,000000;2;0,128000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 16:45:00;2025-05-20 17:00:00;0,054000;2;0,000000;2;0,054000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 17:00:00;2025-05-20 17:15:00;0,231000;2;0,000000;2;0,231000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 17:15:00;2025-05-20 17:30:00;0,063000;2;0,000000;2;0,063000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 17:30:00;2025-05-20 17:45:00;0,054000;2;0,000000;2;0,054000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 17:45:00;2025-05-20 18:00:00;0,057000;2;0,000000;2;0,057000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 18:00:00;2025-05-20 18:15:00;0,055000;2;0,000000;2;0,055000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 18:15:00;2025-05-20 18:30:00;0,056000;2;0,000000;2;0,056000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 18:30:00;2025-05-20 18:45:00;0,044000;2;0,000000;2;0,044000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 18:45:00;2025-05-20 19:00:00;0,049000;2;0,000000;2;0,049000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 19:00:00;2025-05-20 19:15:00;0,165000;2;0,000000;2;0,165000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 19:15:00;2025-05-20 19:30:00;0,046000;2;0,000000;2;0,046000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 19:30:00;2025-05-20 19:45:00;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 19:45:00;2025-05-20 20:00:00;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 20:00:00;2025-05-20 20:15:00;0,031000;2;0,000000;2;0,031000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 20:15:00;2025-05-20 20:30:00;0,028000;2;0,000000;2;0,028000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 20:30:00;2025-05-20 20:45:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 20:45:00;2025-05-20 21:00:00;0,031000;2;0,000000;2;0,031000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 21:00:00;2025-05-20 21:15:00;0,028000;2;0,000000;2;0,028000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 21:15:00;2025-05-20 21:30:00;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 21:30:00;2025-05-20 21:45:00;0,027000;2;0,000000;2;0,027000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 21:45:00;2025-05-20 22:00:00;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 22:00:00;2025-05-20 22:15:00;0,027000;2;0,000000;2;0,027000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 22:15:00;2025-05-20 22:30:00;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 22:30:00;2025-05-20 22:45:00;0,027000;2;0,000000;2;0,027000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 22:45:00;2025-05-20 23:00:00;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 23:00:00;2025-05-20 23:15:00;0,026000;2;0,000000;2;0,026000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 23:15:00;2025-05-20 23:30:00;0,030000;2;0,000000;2;0,030000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 23:30:00;2025-05-20 23:45:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 23:45:00;2025-05-21 00:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 00:00:00;2025-04-13 00:15:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 00:15:00;2025-04-13 00:30:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 00:30:00;2025-04-13 00:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 00:45:00;2025-04-13 01:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 01:00:00;2025-04-13 01:15:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 01:15:00;2025-04-13 01:30:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 01:30:00;2025-04-13 01:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 01:45:00;2025-04-13 02:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 02:00:00;2025-04-13 02:15:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 02:15:00;2025-04-13 02:30:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 02:30:00;2025-04-13 02:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 02:45:00;2025-04-13 03:00:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 03:00:00;2025-04-13 03:15:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 03:15:00;2025-04-13 03:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 03:30:00;2025-04-13 03:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 03:45:00;2025-04-13 04:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 04:00:00;2025-04-13 04:15:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 04:15:00;2025-04-13 04:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 04:30:00;2025-04-13 04:45:00;0,011000;2;0,000000;2;0,011000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 04:45:00;2025-04-13 05:00:00;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 05:00:00;2025-04-13 05:15:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 05:15:00;2025-04-13 05:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 05:30:00;2025-04-13 05:45:00;0,028000;2;0,000000;2;0,028000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 05:45:00;2025-04-13 06:00:00;0,262000;2;0,000000;2;0,262000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 06:00:00;2025-04-13 06:15:00;0,224000;2;0,000000;2;0,224000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 06:15:00;2025-04-13 06:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 06:30:00;2025-04-13 06:45:00;0,109000;2;0,000000;2;0,109000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 06:45:00;2025-04-13 07:00:00;0,145000;2;0,000000;2;0,145000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 07:00:00;2025-04-13 07:15:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 07:15:00;2025-04-13 07:30:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 07:30:00;2025-04-13 07:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 07:45:00;2025-04-13 08:00:00;0,081000;2;0,000000;2;0,081000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 08:00:00;2025-04-13 08:15:00;0,410000;2;0,000000;2;0,410000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 08:15:00;2025-04-13 08:30:00;0,414000;2;0,000000;2;0,414000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 08:30:00;2025-04-13 08:45:00;0,160000;2;0,000000;2;0,160000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 08:45:00;2025-04-13 09:00:00;0,023000;2;0,000000;2;0,023000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 09:00:00;2025-04-13 09:15:00;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 09:15:00;2025-04-13 09:30:00;0,022000;2;0,000000;2;0,022000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 09:30:00;2025-04-13 09:45:00;0,026000;2;0,000000;2;0,026000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 09:45:00;2025-04-13 10:00:00;0,045000;2;0,000000;2;0,045000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 10:00:00;2025-04-13 10:15:00;0,038000;2;0,000000;2;0,038000;2
